169.234.97.101 - - [04/Mar/2018:13:02:31 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:32 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:35 -0800] "GET /project3/Autocompletion?query=j HTTP/1.1" 200 3516
169.234.97.101 - - [04/Mar/2018:13:02:37 -0800] "GET /project3/Autocompletion?query=jack HTTP/1.1" 200 3281
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/run_search?title=Kangaroo+Jack&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/movie_list HTTP/1.1" 200 3532
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:42 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:47 -0800] "GET /project3/Autocompletion?query=ka HTTP/1.1" 200 3356
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/run_search?title=Kato+Kato&submit=Search HTTP/1.1" 302 -
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/movie_list HTTP/1.1" 200 3158
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/css/style.css HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/js/ajaxStuff.js HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/resources/logo.png HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:02:55 -0800] "GET /project3/resources/backg.jpg HTTP/1.1" 304 -
169.234.97.101 - - [04/Mar/2018:13:03:01 -0800] "GET /project3/Autocompletion?query=ha HTTP/1.1" 200 3246
169.234.97.101 - - [04/Mar/2018:13:03:04 -0800] "GET /project3/Autocompletion?query=j%20o HTTP/1.1" 200 3336
169.234.97.101 - - [04/Mar/2018:13:03:06 -0800] "GET /project3/Autocompletion?query=ho HTTP/1.1" 200 3251
